bundle,key,english,zh_hans,source
Resources.bundle,SEND_TYPING_INDICATOR_BUTTON,Send Typing Indicator,发送输入状态,key_override
Resources.bundle,CONTACTS_SPOOFING_PROFILE_PICTURE_HEADER,Profile Picture,头像,value_override
Resources.bundle,AUTO_REPLY_MESSAGE_TYPE_WEB_PAGE,Web Page,网页,value_override
Resources.bundle,CHATS_ADDONS_LABEL,Chats,聊天,value_override
Resources.bundle,MESSAGE_SCHEDULER_MESSAGES_FOOTER,Red schedule means that it has been processed and not running anymore.,红色的定时项表示它已处理完成，不会再继续运行。,key_override
Resources.bundle,FORCE_RECEIPTS_ON,Force Receipts on...,强制向以下对象发送已读回执...,key_override
Resources.bundle,BROADCAST_MESSAGE_INDICATOR_LABEL,Broadcast Msg Indicator,广播消息标识,key_override
Resources.bundle,NEVER_SEND_RECORDING_TO,Never Send Recording to...,绝不向以下对象发送录音状态...,key_override
Resources.bundle,CONTACTS_SPOOFING_LABEL,Contacts Spoofing,联系人伪装,key_override
Resources.bundle,CUSTOM,Custom,自定义,value_override
Resources.bundle,STATUS_SHOW_STATUSES_ON_CHAT_LIST_LABEL,Statuses Bar in Chats List,聊天列表状态栏,key_override
Resources.bundle,OTHER_ADDONS_LABEL,General,通用,value_override
Resources.bundle,SHARE_SHEET_BUTTONS_LABEL,Sheet Buttons,面板按钮,value_override
Resources.bundle,IMPORT_SETTINGS_INVALID_ZIP_FILE_MESSAGE,The selected file is not valid ZIP file,所选文件不是有效的 ZIP 文件。,key_override
Resources.bundle,STATUS_KEEP_CONTACTS_DELETED_STATUSES_LABEL,Keep Contacts Deleted Statuses,保留联系人已删除的状态,key_override
Resources.bundle,PROTECTION_LABEL,Protection,保护,key_override
Resources.bundle,STATUS_ARCHIVE_DELETE_ALL_STATUSES_MESSAGE,Delete all archived statuses,删除所有归档状态,key_override
Resources.bundle,CONTACT_NAME_SIZE_LABEL,Contact Name Size,联系人名称大小,key_override
Resources.bundle,STATUS_DOWNLOAD_GIF_SHARE_AS_GIF,Share as GIF,分享为 GIF,key_override
Resources.bundle,MANABE_TAGS_ORGANIZE_GROUPS_TAB_TITLE,Groups,群组,value_override
Resources.bundle,AUTO_REPLY_TEXT_MATCHING_VALUE_MESSAGE_CONTAINS,Message Contains,消息包含,key_override
Resources.bundle,STATUS_MOVE_VIEWED_TO_BOTTOM_LABEL,Move Viewed Statuses to Bottom,已查看状态置底,value_override
Resources.bundle,MESSAGE_HISTORY_DELETED_BY_ADMIN,Deleted by Admin #name,已被管理员删除 #name,key_override
